C:\Users\wcf\AppData\Local\Programs\Python\Python37\python.exe C:/Users/wcf/PycharmProjects/pokeman_selector/main.py
Epoch 0/19:
loss: 2.5000531673431396
loss: 16.122394561767578
loss: 10.938665390014648
loss: 12.637918472290039
loss: 10.638967514038086
loss: 5.965609550476074
loss: 4.588322639465332
loss: 5.162423133850098
loss: 7.069740295410156
loss: 5.810865879058838
loss: 5.320096969604492
loss: 3.848828077316284
loss: 2.759528875350952
loss: 2.9046947956085205
loss: 2.5446276664733887
loss: 2.6390607357025146
loss: 2.38313364982605
loss: 2.613309383392334
loss: 2.469334125518799
loss: 2.565082550048828
loss: 2.4925293922424316
loss: 2.7631096839904785
loss: 2.484745502471924
loss: 2.498030185699463
loss: 2.6112728118896484
loss: 2.5036988258361816
loss: 2.5182247161865234
loss: 2.355952501296997
loss: 2.4171481132507324
loss: 2.5653693675994873
loss: 2.386162519454956
loss: 2.5949559211730957
loss: 2.291891098022461
loss: 2.1799798011779785
loss: 2.4914908409118652
loss: 2.1883325576782227
loss: 2.0596725940704346
loss: 2.2074453830718994
loss: 2.676818609237671
loss: 2.149413824081421
loss: 2.4143824577331543
loss: 2.347543239593506
loss: 2.5394656658172607
loss: 2.3685317039489746
loss: 2.527764081954956
loss: 2.3072991371154785
train_acc: 0.1956043956043956
test_acc: 0.1568627450980392

Epoch 1/19:
loss: 2.7399260997772217
loss: 2.442791223526001
loss: 1.8875049352645874
loss: 2.271885395050049
loss: 2.348752498626709
loss: 2.0356709957122803
loss: 2.5718512535095215
loss: 1.9115879535675049
loss: 1.714477300643921
loss: 2.1554312705993652
loss: 2.3248791694641113
loss: 2.2539689540863037
loss: 1.9530246257781982
loss: 1.977489709854126
loss: 2.2597644329071045
loss: 1.7209532260894775
loss: 2.2796263694763184
loss: 2.508972644805908
loss: 2.187080144882202
loss: 2.1608452796936035
loss: 2.222754716873169
loss: 1.8627071380615234
loss: 1.8286895751953125
loss: 2.082465887069702
loss: 2.1767046451568604
loss: 1.9420379400253296
